Timestamp,age_group,gender,academic_level,university_type,prior_residence,living_arrangement,sleep_duration,employment_type,meal_skipping,commute_time,internet_quality,study_space_quality,current_gpa,study_routine,attendance,academic_overwhelm,family_income,scholarship,personal_income,academic_resource_access,study_material_satisfaction,dropout_intention_score,risk_class
2025-05-20 13:46:07.988,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,No,1–2 times/week,<30 minutes,4,Yes - Moderate noise (3),>3.5,Only before exams,>75%,Sometimes,"20,000–50,000",No,No personal income,"Yes, Rarely",2,3,Moderate Risk
2025-05-20 13:49:15.497,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",3–4 times/week,<30 minutes,3,No dedicated study space,3.1–3.5,Only before exams,>75%,Always,"<20,000","Yes, Private/Donor-Funded","<5,000 BDT",No access,2,3,Moderate Risk
2025-05-20 13:51:22.564,21–23,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,No,1–2 times/week,<30 minutes,3,Yes - Moderate noise (3),3.1–3.5,"Regularly throughout the course (e.g., weekly)",50–75%,Sometimes,"20,000–50,000","Yes, University Merit-Based","<5,000 BDT","Yes, Weekly",3,3,Moderate Risk
2025-05-20 13:57:37.665,21–23,Female,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),7–8 hours,No,1–2 times/week,<30 minutes,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,50–75%,Sometimes,"50,001–100,000",No,No personal income,"Yes, Daily",4,1,Low Risk
2025-05-20 14:00:50.389,21–23,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),7–8 hours,"Yes, Tuition/Coaching",3–4 times/week,30–60 minutes,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Often,"<20,000",No,">10,000 BDT","Yes, Daily",5,1,Low Risk
2025-05-20 14:03:03.935,21–23,Female,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),>8 hours,"Yes, Tuition/Coaching",Daily,<30 minutes,1,No dedicated study space,>3.5,"Regularly throughout the course (e.g., weekly)",>75%,Always,"20,000–50,000",No,No personal income,No access,1,1,Low Risk
2025-05-20 14:03:41.041,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Freelancing (e.g., online work)",3–4 times/week,<30 minutes,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000",No,">10,000 BDT","Yes, Weekly",3,1,Low Risk
2025-05-20 14:08:41.594,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,<30 minutes,3,Yes - Noisy (2),>3.5,Sporadically (no fixed schedule),>75%,Often,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Rarely",3,2,Low Risk
2025-05-20 14:10:48.409,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",Never,<30 minutes,3,Yes - Moderate noise (3),>3.5,Only before exams,>75%,Never,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Weekly",3,1,Low Risk
2025-05-20 14:13:31.834,24+,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,No,Never,<30 minutes,5,Yes - Quiet (4),2.5–3.0,Only before exams,>75%,Always,"20,000–50,000",No,No personal income,"Yes, Rarely",3,4,High Risk
2025-05-20 14:14:16.239,21–23,Male,Undergraduate (Year 2–4),National University / Affiliated College,"Suburban area (e.g., Gazipur, Savar, Tongi)",Home or Hostels,>8 hours,"Yes, Tuition/Coaching",Daily,30–60 minutes,3,No dedicated study space,<2.5,Sporadically (no fixed schedule),<50%,Often,"20,000–50,000",No,"<5,000 BDT",No access,1,2,Low Risk
2025-05-20 14:16:51.666,17–20,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,30–60 minutes,3,Yes - Very noisy (1),3.1–3.5,Sporadically (no fixed schedule),>75%,Often,"50,001–100,000","Yes, Government Scholarship",">10,000 BDT","Yes, Daily",1,1,Low Risk
2025-05-20 14:17:23.309,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",1–2 times/week,30–60 minutes,3,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Sometimes,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Weekly",3,1,Low Risk
2025-05-20 14:23:55.388,24+,Male,Masters,Public University,"Suburban area (e.g., Gazipur, Savar, Tongi)",Home or Hostels,5–6 hours,"Yes, Freelancing (e.g., online work)",Never,>1 hour,3,Yes - Noisy (2),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000",No,"5,000–10,000 BDT",No access,2,2,Low Risk
2025-05-20 14:27:34.353,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,No,1–2 times/week,<30 minutes,3,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Sometimes,"<20,000","Yes, Government Scholarship",No personal income,"Yes, Daily",2,3,Moderate Risk
2025-05-20 14:28:07.156,21–23,Female,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,No,Never,30–60 minutes,4,Yes - Quiet (4),3.1–3.5,Only before exams,>75%,Often,"50,001–100,000","Yes, Government Scholarship",No personal income,No access,3,3,Moderate Risk
2025-05-20 14:28:55.011,21–23,Female,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,No,3–4 times/week,30–60 minutes,4,No dedicated study space,3.1–3.5,Only before exams,>75%,Always,"20,000–50,000","Yes, Government Scholarship",No personal income,"Yes, Daily",2,1,Low Risk
2025-05-20 14:31:13.838,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",1–2 times/week,>1 hour,5,Yes - Quiet (4),>3.5,Sporadically (no fixed schedule),>75%,Sometimes,"50,001–100,000","Yes, University Merit-Based",">10,000 BDT","Yes, Daily",3,4,High Risk
2025-05-20 14:31:45.453,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,>1 hour,3,Yes - Moderate noise (3),2.5–3.0,Sporadically (no fixed schedule),<50%,Sometimes,"50,001–100,000",No,">10,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-20 14:34:42.865,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Freelancing (e.g., online work)",Daily,<30 minutes,1,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Always,"<20,000",No,">10,000 BDT","Yes, Rarely",1,1,Low Risk
2025-05-20 14:43:58.463,21–23,Female,Undergraduate (Year 2–4),Public University,"Suburban area (e.g., Gazipur, Savar, Tongi)",Home or Hostels,7–8 hours,No,1–2 times/week,<30 minutes,4,Yes - Very noisy (1),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000","Yes, Private/Donor-Funded",No personal income,"Yes, Daily",3,3,Moderate Risk
2025-05-20 14:51:08.456,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,No,Never,>1 hour,1,Yes - Quiet (4),>3.5,"Regularly throughout the course (e.g., weekly)",>75%,Sometimes,"50,001–100,000","Yes, Government Scholarship",No personal income,"Yes, Weekly",4,1,Low Risk
2025-05-20 14:55:50.710,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Freelancing (e.g., online work)",1–2 times/week,<30 minutes,3,Yes - Noisy (2),3.1–3.5,Sporadically (no fixed schedule),>75%,Sometimes,"<20,000",No,"5,000–10,000 BDT","Yes, Weekly",3,1,Low Risk
2025-05-20 14:57:42.976,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",1–2 times/week,30–60 minutes,5,Yes - Quiet (4),>3.5,Sporadically (no fixed schedule),>75%,Sometimes,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Daily",4,1,Low Risk
2025-05-20 15:08:17.211,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",Daily,>1 hour,3,Yes - Very noisy (1),3.1–3.5,Only before exams,>75%,Often,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-20 15:10:08.732,21–23,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,"Yes, Part-time/Full-time Job",Daily,<30 minutes,5,Yes - Very quiet (5),>3.5,Only before exams,>75%,Never,">100,000",No,">10,000 BDT","Yes, Daily",3,1,Low Risk
2025-05-20 15:11:47.297,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),7–8 hours,"Yes, Freelancing (e.g., online work)",Never,<30 minutes,2,No dedicated study space,3.1–3.5,Only before exams,>75%,Always,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Daily",2,1,Low Risk
2025-05-20 15:30:28.236,21–23,Male,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",Daily,<30 minutes,3,Yes - Quiet (4),3.1–3.5,Only before exams,50–75%,Always,"20,000–50,000","Yes, Government Scholarship","5,000–10,000 BDT","Yes, Rarely",3,3,Moderate Risk
2025-05-20 15:43:16.655,21–23,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,No,1–2 times/week,<30 minutes,3,Yes - Moderate noise (3),2.5–3.0,Only before exams,<50%,Often,"20,000–50,000",No,No personal income,"Yes, Daily",2,1,Low Risk
2025-05-20 15:45:52.498,21–23,Female,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",3–4 times/week,<30 minutes,3,Yes - Noisy (2),>3.5,"Regularly throughout the course (e.g., weekly)",>75%,Often,"<20,000",No,"<5,000 BDT","Yes, Weekly",3,3,Moderate Risk
2025-05-20 16:45:52.949,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,"Yes, Tuition/Coaching",Daily,30–60 minutes,3,No dedicated study space,3.1–3.5,Sporadically (no fixed schedule),50–75%,Always,"20,000–50,000",No,"5,000–10,000 BDT",No access,3,4,High Risk
2025-05-20 16:55:38.326,21–23,Male,Undergraduate (Year 2–4),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,<30 minutes,3,Yes - Very noisy (1),2.5–3.0,Only before exams,>75%,Always,"<20,000",No,"<5,000 BDT",No access,3,3,Moderate Risk
2025-05-20 17:11:01.855,21–23,Female,Undergraduate (Year 1),Public University,"Rural area (e.g., village, upazila outside major cities)",University Residence (Halls),7–8 hours,"Yes, Tuition/Coaching",Never,>1 hour,2,Yes - Quiet (4),2.5–3.0,Only before exams,>75%,Sometimes,"50,001–100,000",No,"<5,000 BDT",No access,3,3,Moderate Risk
2025-05-20 17:15:52.867,21–23,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),<5 hours,No,3–4 times/week,<30 minutes,1,Yes - Very noisy (1),>3.5,Sporadically (no fixed schedule),>75%,Sometimes,"20,000–50,000",No,No personal income,"Yes, Weekly",3,3,Moderate Risk
2025-05-20 17:16:59.639,21–23,Female,Undergraduate (Year 2–4),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,"Yes, Tuition/Coaching",Never,>1 hour,2,Yes - Moderate noise (3),3.1–3.5,Only before exams,>75%,Sometimes,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Daily",3,2,Low Risk
2025-05-20 17:19:46.532,21–23,Male,Undergraduate (Year 1),Public University,"Suburban area (e.g., Gazipur, Savar, Tongi)",University Residence (Halls),5–6 hours,"Yes, Tuition/Coaching",Daily,>1 hour,1,Yes - Moderate noise (3),2.5–3.0,Only before exams,>75%,Always,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Daily",1,3,Moderate Risk
2025-05-20 17:28:15.166,21–23,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",1–2 times/week,>1 hour,5,Yes - Moderate noise (3),>3.5,Sporadically (no fixed schedule),>75%,Often,"20,000–50,000","Yes, Government Scholarship",">10,000 BDT",No access,3,3,Moderate Risk
2025-05-20 17:31:22.201,21–23,Female,Undergraduate (Year 1),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Tuition/Coaching",Daily,>1 hour,3,Yes - Moderate noise (3),3.1–3.5,Sporadically (no fixed schedule),>75%,Often,"20,000–50,000",No,"5,000–10,000 BDT","Yes, Rarely",2,2,Low Risk
2025-05-20 17:33:11.093,17–20,Female,Undergraduate (Year 1),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,7–8 hours,No,1–2 times/week,<30 minutes,3,Yes - Quiet (4),>3.5,"Regularly throughout the course (e.g., weekly)",>75%,Sometimes,"<20,000","Yes, Government Scholarship",No personal income,No access,3,1,Low Risk
2025-05-20 17:49:08.295,17–20,Female,Undergraduate (Year 1),Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",University Residence (Halls),7–8 hours,"Yes, Tuition/Coaching",3–4 times/week,>1 hour,3,Yes - Noisy (2),>3.5,Sporadically (no fixed schedule),50–75%,Often,"<20,000",No,"5,000–10,000 BDT","Yes, Rarely",3,1,Low Risk
2025-05-20 17:57:12.368,24+,Male,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,5–6 hours,"Yes, Part-time/Full-time Job",1–2 times/week,<30 minutes,3,Yes - Quiet (4),>3.5,Only before exams,>75%,Sometimes,"50,001–100,000",No,"5,000–10,000 BDT","Yes, Daily",3,1,Low Risk
2025-05-20 18:10:18.866,24+,Female,Masters,Public University,"Urban area (e.g., Dhaka, Chittagong, Sylhet)",Home or Hostels,<5 hours,No,Daily,>1 hour,3,Yes - Quiet (4),3.1–3.5,Sporadically (no fixed schedule),>75%,Rarely,">100,000",No,No personal income,"Yes, Rarely",3,1,Low Risk
